=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
MED     R8 Mix+Cauterize vs BoneCleanse                  22.4   24.4  15.0  34.8     58     88       4      96      29     100    100  69.6       0     0  Torso was destroyed (Heart failed) (20)
MED     R12 Serum vs Fester heal                         26.0   28.5  13.8  41.1     38     33       8      88      58     100    126  44.4       4     0  Torso was destroyed (Heart failed) (12)
MED     R12 Balmy vs FireStaff-2H Burn                   29.2   29.7  18.7  46.1     29     58       0     100      63     110    100  59.4       0     0  Torso was destroyed (Heart failed) (15)

INC     R1 Mullin vs Shade (axe)                         43.4   41.6  24.6  54.3     13     50       0     100      38      89    100  41.2       0     0  Torso was destroyed (Heart failed) (17)
INC     R5 Shade vs no incense (leather)                 29.4   28.7  19.2  36.3     29     54       0     100      50      97    100  53.2       0     0  Torso was destroyed (Heart failed) (16)
INC     R5 Dipped vs Mullin (leather)                    22.6   24.0  13.2  35.4     46     54       0     100      46     100    100  58.0       0     0  Torso was destroyed (Heart failed) (15)
INC     R8 Dipped vs Shade+Mullin (chain)                34.7   37.7  22.7  57.4     17     58       0     100      67     100    100  44.4       0     0  Torso was destroyed (Heart failed) (16)
INC     R8 Shade vs Dipped (WD-bone)                     37.2   35.1  21.3  49.1     25     54       0     100      50      83    100  38.1       0     0  Torso was destroyed (Heart failed) (14)
INC     R12 full smoke vs Mullin (stacked)               36.2   37.7  19.4  64.6     29     54       0     100      54     100    100  68.0       0     0  Torso was destroyed (Heart failed) (14)
INC     R8 Dipped vs Shade+Mullin (plate)                41.4   41.8  24.9  62.5      8     58       0     100      42     100    100  40.4       0     0  Torso was destroyed (Heart failed) (15)
INC     R12 full smoke vs Mullin (plate stacked)         57.9   54.8  26.1  73.9      8     54       0     100      67      89    100  37.5       8     0  Torso was destroyed (Heart failed) (10)

--- Blood & severs ---
Band    Matchup                                         bleed%  sever%  b|sev  b|no  loseB%  winB% sev->s  inst%
----------------------------------------------------------------------------------------------------------------------------------
R1-3    Club vs Club (naked)                                 0      58      0     0      91     99   17.9      0
R1-3    Axe vs Axe (naked)                                   0      50      0     0      97    100   13.9      0
R1-3    Spear vs Axe (naked)                                 0      50      0     0      95    100   13.9      0
R1-3    Knife vs Knife (naked)                               0      54      0     0      89    100   11.7      0
R1-3    Hammer vs Club (naked)                               4      71      0    14      87     98   12.4      0
R1-3    Dual-primitive vs Axe (naked)                        4      58      7     0      89    100   16.6      0
R1-3    Axe+cloth vs Axe+cloth                               8      58     14     0      89     99   13.3      0
R1-3    Club+cloth vs Club+cloth                             0      67      0     0      83     99   16.9      0
R1-3    Spear+cloth vs Axe+cloth                             0      54      0     0      91    100   11.3      0
R1-3    Axe+leather-core vs Axe+leather-core                 4      46      9     0      88     99   12.6      0
R1-3    Sword+Fester+cloth vs Axe+cloth                      0      29      0     0     105    100    7.5      0
R1-3    Dagger+Fester+cloth vs Sword+cloth                   0      42      0     0     100    100    4.1      0

R4-6    Sword+leather vs Sword+leather                       4      42      0     7      98    110   22.4      0
R4-6    Mace+leather vs Sword+leather                        4      38      0     7     100    118   19.2      0
R4-6    IronAxe+leather vs Sword+leather                     4      38      0     7      97    100   22.4      0
R4-6    Claws+leather vs Sword+leather                       4      54      0     9      96    100   13.3      0
R4-6    Dual-iron+Fester+leaf vs same                        0      46      0     0      97    100   12.5      0
R4-6    Dual-dagger+Fester+leaf vs Dual-iron                 0      63      0     0     100    100   11.7      0
R4-6    Sword+Fester+leather-ench vs same                    0      50      0     0     100    100   12.8      0
R4-6    Sword+Bite+BloodBath vs Sword+leather                4      42      0     7      98    100   20.7      0
R4-6    FireStaff+Fester+leather vs Sword+leather            0      46      0     0     100    100   15.0      0
R4-6    StormStaff+leather vs Sword+leather                  0      54      0     0      94    100   16.5      0
R4-6    Ember+Dagger+leather vs Sword+leather                4      50      0     8     100    100   22.2      0
R4-6    Chain-partial vs Sword+leather                       4      33      0     6     100    100   20.7      0
R4-6    WD-partial+BoneEater vs Sword+leather                4      54      0     9      88    100   23.8      0
R4-6    WD-partial+Bite vs Mace+leather                      0      63      0     0     100    100   20.0      0

METAL   Dagger vs Sword (leather)                            4      42      0     7     100    113   21.6      0
METAL   Knuckles vs Sword (leather)                          4      38      0     7     100    121   17.6      0
METAL   Axe vs Sword (leather)                               4      38      0     7      97    100   22.4      0
METAL   Hammer vs Sword (leather)                            8      54      0    18      84    100   22.5      0
METAL   Mace vs Sword (leather)                              4      38      0     7     100    118   19.2      0
METAL   Claws vs Sword (leather)                             4      54      0     9      96    100   13.3      0
METAL   Sword vs Sword (leather)                             4      42      0     7      98    110   22.4      0
METAL   Axe vs Axe (leather)                                 8      54     15     0     100    103   24.0      0
METAL   Mace vs Mace (leather)                               0      67      0     0     100    100   10.7      0
METAL   Claws vs Claws (leather)                             0      50      0     0     100    100   13.9      0

MAGIC   EmberWand vs Sword (leather)                         0      33      0     0     100    125   22.9      0
MAGIC   HexWand vs Sword (leather)                           0      38      0     0     100    113   13.3      0
MAGIC   FireStaff vs Sword (leather)                         0      54      0     0     100    100   18.9      0
MAGIC   StormStaff vs Sword (leather)                        0      54      0     0      94    100   16.5      0
MAGIC   Dual-wand vs Sword (leather)                         0      54      0     0     100    118   13.2      0
MAGIC   Ember+Dagger vs Sword (leather)                      4      50      0     8     100    100   22.2      0
MAGIC   FireStaff vs FireStaff (leather)                     0      67      0     0      80    100   19.2      0
MAGIC   StormStaff vs StormStaff (leather)                   0      42      0     0      97    106   14.7      0
MAGIC   HexWand vs EmberWand (leather)                       4      54      8     0      97    100   24.1      0

STEEL   Greatsword vs Sword (leather)                        0      33      0     0     113    100   13.4      0
STEEL   Maul vs Sword (leather)                              0      38      0     0     100    100   13.2      0
STEEL   Poleaxe vs Sword (leather)                           0      29      0     0     100    100   17.2      0
STEEL   SteelSword vs Sword (leather)                        0      42      0     0     100    100   13.7      0
STEEL   SteelAxe vs Sword (leather)                          0      46      0     0     100    100   19.8      0
STEEL   Greatsword vs Maul (leather)                         4      38      0     7     103    100    8.7      0
STEEL   Greatsword vs Poleaxe (leather)                      0      33      0     0     100    121   15.7      0
STEEL   Maul vs Poleaxe (leather)                            0      42      0     0     100    123   10.1      0
STEEL   SteelSword vs SteelAxe (leather)                     0      58      0     0      89    113   13.7      0
STEEL   SteelSword+Dagger vs Greatsword (leather)            0      46      0     0     100    100   13.2      0
STEEL   Dual-IronSword vs Greatsword (leather)               0      42      0     0     100    100   18.0      0
STEEL   Greatsword vs Sword (chain)                          4      42      0     7     100    100   24.5      0
STEEL   SteelSword vs Sword (chain)                          4      50      0     8      93    100   18.5      0
STEEL   Greatsword vs Sword (plate)                          0      46      0     0     100    100   31.0      0
STEEL   SteelSword vs Sword (plate)                          0      46      0     0     105    100   22.6      0

R7-9    Sword+chain vs Sword+chain                           0      46      0     0     103    100   15.1      0
R7-9    Chain+Burn vs Chain (plain)                          0      33      0     0     100    100   21.9      0
R7-9    Chain+Burn vs Chain+BoneEater                        0      42      0     0     108    100   12.2      0
R7-9    Chain+Burn vs Chain+SpidersBite                      0      46      0     0     105    100   12.6      0
R7-9    Dual-iron+chain vs Sword+chain                       0      29      0     0     100    100   13.8      0
R7-9    Chain+Rhino-light vs Chain+Burn                      0      46      0     0     113    100   16.3      0
R7-9    Dual-DoT+leather vs same                             0      42      0     0     100    100    8.1      0
R7-9    WD+BoneEater vs Sword+chain                          0      38      0     0     112    100   13.9      0
R7-9    WD+Burn vs Sword+chain                               0      42      0     0     107    100    9.5      0
R7-9    WD+Fester vs WD+BoneEater                            0      33      0     0     111    100    6.6      0
R7-9    WD+collar+Bone vs Chain+Burn                         4      38     11     0     100    100    9.5      0
R7-9    Claws+chain+Bite vs Dual-DoT+leather                 0      13      0     0     100    122   14.1      0
R7-9    Sword+plate vs Sword+plate                           0      38      0     0     100    100    7.4      0
R7-9    Plate+Burn vs Plate (plain)                          0      33      0     0     100    100   13.5      0
R7-9    Plate+Burn vs Plate+BoneEater                        0      42      0     0     100    100   16.7      0
R7-9    Plate+Burn vs Plate+SpidersBite                      0      50      0     0     100    100   18.4      0
R7-9    Dual-iron+plate vs Sword+plate                       0      50      0     0     103    100    9.8      0
R7-9    Plate+Rhino-light vs Plate+Burn                      0      54      0     0     100    100   14.1      0
R7-9    WD+BoneEater vs Sword+plate                          0      38      0     0     106    100   12.3      0
R7-9    WD+Burn vs Sword+plate                               0      29      0     0     100    100    7.5      0
R7-9    WD+collar+Bone vs Plate+Burn                         0      33      0     0     100    100    4.1      0
R7-9    Claws+plate+Bite vs Dual-DoT+leather                 0      38      0     0     100    108    9.5      0
R7-9    Sword+plate vs Sword+chain                           0      42      0     0     107    100   13.8      0

R10-13  Chain stacked+Burn/Bone vs same                      0      58      0     0     100    100   22.7      0
R10-13  Chain stacked+Fester/Bite vs Burn/Bone               0      50      0     0     105    100   17.1      0
R10-13  WD heal+Burn vs Chain stacked                        0      46      0     0     105    100   19.4      0
R10-13  WD heal+Fester vs Chain stacked                      0      50      0     0     113    100   24.2      0
R10-13  WD heal+Bite vs Chain stacked                        0      42      0     0     103    100   32.7      0
R10-13  WD heal+Bone vs Chain stacked                        0      58      0     0     100    100   27.0      0
R10-13  WD reflect+Bite vs Chain stacked                     0      63      0     0     100    100   21.7      0
R10-13  WD reflect+Bite vs WD heal+Fester                   17      38     11    20     100    100   19.7      0
R10-13  Unique-mix+Burn/Bone vs Chain stacked                0      58      0     0     100    115   10.9      0
R10-13  Unique-mix+Bite vs Chain stacked                     0      63      0     0     100    104   15.3      0
R10-13  FireStaff-2H+Fester+WD vs Chain stacked              4      71      6     0     110    100   15.6      0
R10-13  FireStaff-2H+Burn+WD vs Chain stacked                0      63      0     0     102    100   18.0      0
R10-13  StormStaff+Burn+WD vs Chain stacked                  0      79      0     0     100    100   26.2      0
R10-13  Ember+Dagger+WD vs Chain stacked                     0      54      0     0     101    100   23.6      0
R10-13  WD heal+Burn vs WD+BoneEater (no stack)              0      54      0     0     104    100   14.4      0
R10-13  Unique-mix vs WD+BoneEater (no stack)                0      42      0     0     100    102   26.1      0
R10-13  WD heal+Bite vs Unique-mix+Burn                      0      29      0     0     130    100   17.9      0
R10-13  FireStaff-2H+Burn vs WD+collar+Bone                  0      75      0     0     115    100   12.7      0
R10-13  Plate stacked+Burn/Bone vs same                      0      67      0     0     100    105   30.5      0
R10-13  Plate stacked+Fester/Bite vs Burn/Bone               0      63      0     0     100    100   29.0      0
R10-13  WD heal+Burn vs Plate stacked                        0      50      0     0     101    100   23.5      0
R10-13  WD heal+Fester vs Plate stacked                      4      58      7     0     111    100   17.6      0
R10-13  Unique-mix+Burn/Bone vs Plate stacked                0      42      0     0     100    100   22.9      0
R10-13  FireStaff-2H+Burn+WD vs Plate stacked                0      50      0     0     100    100   32.5      0
R10-13  Plate stacked vs Chain stacked                       0      58      0     0     100    100   22.0      0

X       R1 axe vs R5 sword-leather                           0      29      0     0     100    130    2.1      0
X       R1 club vs R5 mace-leather                           0      21      0     0     100    129    6.7      0
X       R3 Fester-cloth vs R8 chain-plain                    0      25      0     0     100    122    8.6      0
X       R5 sword-leather vs R8 chain-burn                    0      46      0     0     100    110    6.1      0
X       R5 leather vs R12 chain stacked                      0      42      0     0     100    128   19.7      0
X       R6 dual-iron vs R12 WD-heal-burn                     0      38      0     0     100    128    9.4      0
X       R8 chain-plain vs R12 unique-mix                     0      42      0     0     100    131   10.7      0
X       R8 WD-bone vs R12 WD-heal-burn                       0      38      0     0     100    132   10.4      0
X       R5 leather vs R12 plate stacked                      0      50      0     0      99    128   20.8      0
X       R8 plate-plain vs R12 unique-mix                     0      42      0     0     100    131    9.3      0

KIT     R1 axe Early vs axe bare                             0      46      0     0      80    100    9.1      0
KIT     R1 axe Early vs same                                 0      50      0     0      97    100   13.9      0
KIT     R5 leather Mid vs leather bare                       4      29     14     0      92    100    1.6      0
KIT     R5 leather Burst vs Sustain                         13      54     15     9     106    100    7.9      0
KIT     R8 chain Late vs chain bare                          0      42      0     0      88    100    2.7      0
KIT     R8 chain Burst vs Sustain                            4      58      0    10     112    100    8.4      0
KIT     R12 stacked Full vs Late                             0      50      0     0     122    100   16.8      0
KIT     R12 WD-heal Full vs stacked Mid                      0      71      0     0     109    100   16.6      0
KIT     R8 plate Late vs plate bare                          0      38      0     0      79    100    6.7      0
KIT     R12 plate stacked Full vs Late                       0      58      0     0     116    100   14.4      0

FOOD    R1 meat vs fish (axe+cloth)                          0      54      0     0      85     96   13.0      0
FOOD    R4 stew vs dried+corn (leather)                      0      50      0     0     100    112    6.5      0
FOOD    R5 stew+meat vs honey (leather)                      0      42      0     0     100    100    7.8      0
FOOD    R8 honey vs stew (chain)                             0      33      0     0     100    109    5.9      0
FOOD    R8 honey+stew vs walnut (WD)                         0      46      0     0      99    100    3.8      0
FOOD    R12 walnut vs honey (stacked)                        0      46      0     0     100    100   14.3      0
FOOD    R8 honey vs stew (plate)                             0      50      0     0      94    106   12.9      0
FOOD    R12 walnut vs honey (plate stacked)                  0      50      0     0     100    100   19.2      0

MED     R1 MedKit+suture vs Jar only                         0      58      0     0     101    100   13.1      0
MED     R4 Mist+Balmy vs Acid flask                          0      25      0     0     100    100   10.9      0
MED     R5 Jar+Heal vs Acid+Puss                             8      29      0    12     100    100    4.3      0
MED     R8 Mix+Cauterize vs BoneCleanse                      4      29     14     0     100    100   13.0      0
MED     R12 Serum vs Fester heal                             8      58     14     0     100    126   13.5      0
MED     R12 Balmy vs FireStaff-2H Burn                       0      63      0     0     110    100   19.7      0

INC     R1 Mullin vs Shade (axe)                             0      38      0     0      89    100   17.6      0
INC     R5 Shade vs no incense (leather)                     0      50      0     0      97    100   19.7      0
INC     R5 Dipped vs Mullin (leather)                        0      46      0     0     100    100   12.1      0
INC     R8 Dipped vs Shade+Mullin (chain)                    0      67      0     0     100    100   24.0      0
INC     R8 Shade vs Dipped (WD-bone)                         0      50      0     0      83    100   15.4      0
INC     R12 full smoke vs Mullin (stacked)                   0      54      0     0     100    100   15.4      0
INC     R8 Dipped vs Shade+Mullin (plate)                    0      42      0     0     100    100   21.0      0
INC     R12 full smoke vs Mullin (plate stacked)             0      67      0     0      89    100   48.9      0

--- Band medians ---
  R1-3: median-of-medians 23.0s   range 9.6-29.4s
  R4-6: median-of-medians 30.8s   range 23.5-36.9s
  METAL: median-of-medians 30.4s   range 25.5-36.9s
  MAGIC: median-of-medians 31.8s   range 23.3-37.3s
  STEEL: median-of-medians 24.3s   range 20.6-35.7s
  R7-9: median-of-medians 19.5s   range 14.1-30.5s
  R10-13: median-of-medians 33.1s   range 22.0-50.3s
  X: median-of-medians 19.1s   range 11.2-29.3s
  KIT: median-of-medians 16.4s   range 8.4-28.7s
  FOOD: median-of-medians 19.9s   range 13.3-22.9s
  MED: median-of-medians 22.4s   range 10.7-29.2s
  INC: median-of-medians 37.2s   range 22.6-57.9s

--- Sever dump check ---
  Fights: 3600   with sever: 1690 (47%)   bleed deaths: 45 (1%)
  bleed|sever     1   bleed|no-sever     1
  Instant bleed-out within 1s of first sever: 0.0% (0/3600)
  Median-of-medians loser blood on bleed deaths: 5%
  Verdict: severs raise or hold bleed deaths (dump + stump hemorrhage matter); dump is not a one-shot (instant bleed-out after sever is rare); bleed-death loser blood is low (pool is actually spent)
