=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
METAL   Claws vs Claws (leather)                         25.5   27.1  17.1  37.7     38     50       0     100      50     100    100  55.4       0     0  Torso was destroyed (Heart failed) (14)

MAGIC   EmberWand vs Sword (leather)                     32.0   30.0  14.4  47.5     25     17       0     100      33     100    125  27.2       0     0  Torso was destroyed (Heart failed) (11)
MAGIC   HexWand vs Sword (leather)                       29.0   25.9  15.5  41.3     42     17       0     100      38     100    113  27.6       0     0  Torso was destroyed (Heart failed) (12)
MAGIC   FireStaff vs Sword (leather)                     29.0   28.6  15.8  39.3     29     42       0     100      54     100    100  36.4       0     0  Torso was destroyed (Heart failed) (12)
MAGIC   StormStaff vs Sword (leather)                    31.8   32.0  19.8  41.6     21     50       0     100      54      94    100  43.5       0     0  Torso was destroyed (Heart failed) (16)
MAGIC   Dual-wand vs Sword (leather)                     23.3   28.6  17.6  44.7     54     25       0      92      54     100    118  30.1       0     0  Torso was destroyed (Heart failed) (14)
MAGIC   Ember+Dagger vs Sword (leather)                  29.5   35.2  15.2  70.5     21     46       4      96      50     100    100  39.4       4     0  Torso was destroyed (Heart failed) (15)
MAGIC   FireStaff vs FireStaff (leather)                 37.3   37.8  23.1  54.0     13     58       0     100      67      80    100  39.9       0     0  Torso was destroyed (Heart failed) (15)
MAGIC   StormStaff vs StormStaff (leather)               32.1   31.8  20.3  41.8     21     46       0     100      42      97    106  36.6       0     0  Torso was destroyed (Heart failed) (14)
MAGIC   HexWand vs EmberWand (leather)                   36.3   39.1  24.8  57.3     13     63       4      75      54      97    100  37.1       8     0  Torso was destroyed (Heart failed) (12)

STEEL   Greatsword vs Sword (leather)                    20.6   22.1   8.6  33.9     50     79       0     100      33     113    100  88.5       0     0  Neck was destroyed (Heart failed) (9)
STEEL   Maul vs Sword (leather)                          23.7   25.2  13.1  41.4     46     54       0     100      38     100    100  61.1       0     0  Torso was destroyed (Heart failed) (13)
